episode,ep_rew,ep_len
1261,-110.0,100
1262,-22.0,25
1263,-61.0,61
1264,-110.0,100
1265,-110.0,100
1266,-15.0,31
1267,-14.0,12
1268,-110.0,100
1269,-9.0,17
1270,-16.0,21
1271,-44.0,44
1272,-110.0,100
1273,-17.0,25
1274,-12.0,12
1275,-16.0,22
1276,-22.0,19
1277,-69.0,69
1278,-56.0,56
1279,-18.0,28
1280,-54.0,54
1281,-15.0,16
1282,-61.0,61
1283,-10.0,7
1284,-110.0,100
1285,-110.0,100
1286,-110.0,100
1287,-21.0,34
1288,-12.0,12
1289,-15.0,27
1290,-51.0,51
1291,-10.0,23
1292,-19.0,22
1293,-110.0,100
1294,-110.0,100
1295,-110.0,100
1296,-131.0,100
1297,-19.0,30
1298,-80.0,80
1299,-110.0,100
1300,-18.0,31
1301,-20.0,24
1302,-11.0,15
1303,-18.0,37
1304,-9.0,11
1305,-9.0,27
1306,-16.0,18
1307,-110.0,100
1308,-49.0,49
1309,-51.0,51
1310,-37.0,37
1311,-14.0,31
1312,-12.0,14
1313,-25.0,34
1314,-12.0,18
1315,-9.0,13
1316,-18.0,18
1317,-53.0,53
1318,-12.0,20
1319,-14.0,15
1320,-10.0,11
1321,-13.0,24
1322,-44.0,44
1323,-40.0,40
1324,-14.0,25
1325,-13.0,19
1326,-10.0,18
1327,-11.0,9
1328,-10.0,19
1329,-13.0,14
1330,-110.0,100
1331,-15.0,18
1332,-110.0,100
1333,-15.0,16
1334,-17.0,18
1335,-110.0,100
1336,-110.0,100
1337,-14.0,16
1338,-11.0,8
1339,-69.0,69
1340,-16.0,18
1341,-35.0,66
1342,-13.0,16
1343,-12.0,11
1344,-110.0,100
1345,-12.0,9
1346,-80.0,80
1347,-110.0,100
1348,-110.0,100
1349,-11.0,15
1350,-11.0,10
1351,-13.0,13
1352,-17.0,15
1353,-20.0,18
1354,-10.0,23
1355,-13.0,17
1356,-9.0,6
1357,-29.0,29
1358,-22.0,26
1359,-14.0,16
1360,-12.0,12
1361,-19.0,48
1362,-122.0,100
1363,-23.0,27
1364,-16.0,13
1365,-67.0,67
1366,-110.0,100
1367,-14.0,13
1368,-14.0,13
1369,-110.0,100
1370,-9.0,6
1371,-130.0,100
1372,-15.0,15
1373,-20.0,25
1374,-9.0,15
1375,-13.0,14
1376,-10.0,10
1377,-110.0,100
1378,-20.0,48
1379,-110.0,100
1380,-126.0,100
1381,-17.0,19
1382,-10.0,9
1383,-18.0,18
1384,-70.0,70
1385,-14.0,13
1386,-22.0,32
1387,-22.0,20
1388,-13.0,13
1389,-14.0,13
1390,-110.0,100
1391,-82.0,82
1392,-51.0,51
1393,-110.0,100
1394,-40.0,55
1395,-55.0,45
1396,-110.0,100
1397,-14.0,12
1398,-110.0,100
1399,-91.0,91
1400,-110.0,100
1401,-110.0,100
1402,-74.0,74
1403,-39.0,39
1404,-110.0,100
1405,-110.0,100
1406,-63.0,63
1407,-74.0,74
1408,-37.0,37
1409,-26.0,34
1410,-9.0,9
1411,-11.0,10
1412,-110.0,100
1413,-10.0,14
1414,-16.0,16
1415,-48.0,48
1416,-110.0,100
1417,-27.0,27
1418,-99.0,99
1419,-110.0,100
1420,-21.0,28
1421,-110.0,100
1422,-110.0,100
1423,-62.0,62
1424,-34.0,34
1425,-10.0,20
1426,-110.0,100
1427,-55.0,55
1428,-12.0,21
1429,-72.0,72
1430,-10.0,8
1431,-10.0,14
1432,-13.0,11
